id,common_name,observed_on,place_guess,latitude,longitude,quality_grade,annotation_summary,url,life_stage,alive_dead
245832576,Atlantic Menhaden,2024-09-21 13:00:21-04:00,"Shell Pile, Wildwood, NJ, US",38.9498633378,-74.8568534823,research,,https://www.inaturalist.org/observations/245832576,,
245290758,Atlantic Menhaden,2024-10-02 16:09:57-04:00,"Lower Township, NJ, USA",38.9549527778,-74.908975,research,,https://www.inaturalist.org/observations/245290758,,
245290054,Atlantic Menhaden,2024-10-02 16:10:28-04:00,"Cape May Harbor, Cape May, NJ, US",38.9452663204,-74.9001525623,research,,https://www.inaturalist.org/observations/245290054,,
245173079,Atlantic Menhaden,2024-09-24,"Lower Township, NJ, USA",38.9606333333,-74.9599388889,research,Alive or Dead: Dead,https://www.inaturalist.org/observations/245173079,,Dead
244933289,Northern Diamondback Terrapin,2024-09-30 13:38:06-04:00,"New Jersey, US",39.7468706951,-74.3257873193,research,"Life Stage: Juvenile, Alive or Dead: Dead",https://www.inaturalist.org/observations/244933289,Juvenile,Dead
244933151,Northern Diamondback Terrapin,2024-09-30 13:37:01-04:00,"New Jersey, US",39.6097368421,-74.365356862,research,"Life Stage: Juvenile, Alive or Dead: Dead",https://www.inaturalist.org/observations/244933151,Juvenile,Dead
244932918,Northern Diamondback Terrapin,2024-09-30 13:35:42-04:00,"New Jersey, US",39.7539202939,-74.3279352398,research,"Life Stage: Juvenile, Alive or Dead: Dead",https://www.inaturalist.org/observations/244932918,Juvenile,Dead
244809204,Atlantic Menhaden,2024-09-24 10:31:56-04:00,"Cape Island, Cape May, NJ, US",38.960605,-74.9599916667,research,,https://www.inaturalist.org/observations/244809204,,
244622054,Northern Diamondback Terrapin,2021-09-04 20:33:00-04:00,"New Jersey, US",39.2032586108,-74.5770861613,research,,https://www.inaturalist.org/observations/244622054,,
244394019,Atlantic Menhaden,2024-09-27 16:31:12-04:00,"Bayshore, Sayreville, NJ, US",40.4763416667,-74.2669966667,research,,https://www.inaturalist.org/observations/244394019,,
244060540,Atlantic Menhaden,2024-09-22 10:52:46-04:00,"Little Egg Harbor Township, NJ 08087, USA",39.5389417,-74.3255699997,research,,https://www.inaturalist.org/observations/244060540,,
244028529,Northern Diamondback Terrapin,2024-09-25 14:49:40-04:00,United States,38.8207307959,-74.8395159695,research,,https://www.inaturalist.org/observations/244028529,,
243176837,Atlantic Menhaden,2024-09-21 14:21:44-04:00,"Gateway National Recreation Area, Highlands, NJ, US",40.45118,-74.0020611167,research,,https://www.inaturalist.org/observations/243176837,,
242788540,Northern Diamondback Terrapin,2024-09-19 14:34:33-04:00,United States,38.9644540115,-74.8775173924,research,,https://www.inaturalist.org/observations/242788540,,
242738296,Northern Diamondback Terrapin,2024-09-19 14:34:33-04:00,United States,38.9090777435,-74.8587506298,research,,https://www.inaturalist.org/observations/242738296,,
242327948,Northern Diamondback Terrapin,2024-09-16 18:02:24-04:00,"New Jersey, US",39.3877795752,-74.7394435972,research,Alive or Dead: Dead,https://www.inaturalist.org/observations/242327948,,Dead
241999817,Atlantic Menhaden,2023-05-17 03:21:00-04:00,"Sandy Hook, Middletown Township, NJ, USA",40.4686913454,-73.99848593,research,,https://www.inaturalist.org/observations/241999817,,
241974151,Northern Diamondback Terrapin,2024-09-08 15:55:59-04:00,"Cape May County, US-NJ, US",39.0622348045,-74.6247998666,research,,https://www.inaturalist.org/observations/241974151,,
241537957,Northern Diamondback Terrapin,2024-09-13 16:40:38-04:00,"New Jersey, US",39.5390638264,-74.348699995,research,,https://www.inaturalist.org/observations/241537957,,
241300345,Northern Diamondback Terrapin,2024-09-12 12:04:11-04:00,"New Jersey, US",39.2246273234,-74.6968638106,research,Alive or Dead: Dead,https://www.inaturalist.org/observations/241300345,,Dead
241000906,Northern Diamondback Terrapin,2024-06-30 21:32:25-04:00,"New Jersey, US",39.0953686192,-74.6027421757,research,,https://www.inaturalist.org/observations/241000906,,
240942669,Northern Diamondback Terrapin,2024-09-10 09:55:46-04:00,"New Jersey, US",39.2546509056,-74.5313135514,research,,https://www.inaturalist.org/observations/240942669,,
240807714,Atlantic Menhaden,2024-08-25 15:31:00-04:00,Villas Beach,39.0278142872,-74.9431141368,research,,https://www.inaturalist.org/observations/240807714,,
240576001,Northern Diamondback Terrapin,2024-09-08 12:55:00-04:00,"New Jersey, US",39.4828821241,-74.3337635325,research,,https://www.inaturalist.org/observations/240576001,,
239945363,Atlantic Menhaden,2024-09-05 07:13:43-04:00,"Cape Island, Cape May, NJ, US",38.9359859293,-74.9421917457,research,,https://www.inaturalist.org/observations/239945363,,
239898288,Atlantic Menhaden,2024-09-04 19:34:26-04:00,"Stephan Ave, Toms River, NJ, US",40.0045916667,-74.1170195,research,,https://www.inaturalist.org/observations/239898288,,
239881137,Atlantic Menhaden,2024-09-04 19:35:20-04:00,"Stephan Ave, Toms River, NJ, US",40.0045929988,-74.1170546242,research,,https://www.inaturalist.org/observations/239881137,,
239315352,Atlantic Menhaden,2024-08-29 13:30:42-04:00,United States,40.165863824,-74.0257488702,research,,https://www.inaturalist.org/observations/239315352,,
239269850,Northern Diamondback Terrapin,2024-08-03 11:05:25-04:00,"Cape May County, US-NJ, US",39.1472135254,-74.6482778854,research,,https://www.inaturalist.org/observations/239269850,,
238647936,Northern Diamondback Terrapin,2024-08-29 15:18:00-04:00,"New Jersey, US",39.5688434696,-74.5284736052,research,Alive or Dead: Alive,https://www.inaturalist.org/observations/238647936,,Alive
238647935,Northern Diamondback Terrapin,2024-08-29 15:18:00-04:00,"New Jersey, US",39.5959383546,-74.4071133757,research,Alive or Dead: Alive,https://www.inaturalist.org/observations/238647935,,Alive
238495553,Atlantic Menhaden,2024-08-20 10:40:00-04:00,"Lower Township, NJ, USA",38.9339401113,-74.9582895819,research,Alive or Dead: Dead,https://www.inaturalist.org/observations/238495553,,Dead
238455063,Northern Diamondback Terrapin,2024-08-28 11:02:59-04:00,"Cape May County, US-NJ, US",39.1010019241,-74.7050653395,research,,https://www.inaturalist.org/observations/238455063,,
238327174,Northern Diamondback Terrapin,2024-08-17 16:57:00-04:00,United States,39.7045918236,-74.0043706601,research,,https://www.inaturalist.org/observations/238327174,,
238301755,Northern Diamondback Terrapin,2024-08-27 09:00:51-04:00,United States,40.7858402235,-74.1276242047,research,,https://www.inaturalist.org/observations/238301755,,
238070377,Northern Diamondback Terrapin,2024-07-07 19:52:00-04:00,"New Jersey, US",39.3597453935,-75.0714299071,research,Alive or Dead: Dead,https://www.inaturalist.org/observations/238070377,,Dead
237914956,Northern Diamondback Terrapin,2024-07-06 14:03:00-04:00,"New Jersey, US",39.457319986,-74.3258728029,research,,https://www.inaturalist.org/observations/237914956,,
236788261,Atlantic Menhaden,2024-08-19 16:23:26-04:00,"Shark River, Belmar, NJ, US",40.1815633333,-74.0302195,research,Alive or Dead: Dead,https://www.inaturalist.org/observations/236788261,,Dead
235652361,Northern Diamondback Terrapin,2024-08-10 19:29:00-04:00,"New Jersey, US",39.0076638186,-75.1222257017,research,,https://www.inaturalist.org/observations/235652361,,
235629986,Northern Diamondback Terrapin,2024-08-11 09:37:58-04:00,"New Jersey, US",39.8777636358,-75.0011122535,research,,https://www.inaturalist.org/observations/235629986,,
235626611,Atlantic Menhaden,2024-08-13 15:40:08-04:00,United States,40.1282069293,-74.1371273802,research,,https://www.inaturalist.org/observations/235626611,,
235465882,Northern Diamondback Terrapin,2024-08-12 23:09:24-04:00,United States,39.7364693166,-75.4521043607,research,,https://www.inaturalist.org/observations/235465882,,
234685592,Northern Diamondback Terrapin,2024-08-09 08:22:17-04:00,"New Jersey, US",39.3249692163,-74.532111291,research,Alive or Dead: Dead,https://www.inaturalist.org/observations/234685592,,Dead
233992218,Northern Diamondback Terrapin,2024-06-10 14:55:00-04:00,"New Jersey, US",39.5983102567,-74.2691899707,research,,https://www.inaturalist.org/observations/233992218,,
233987947,Atlantic Menhaden,2024-08-04 00:17:00-04:00,United States,40.0208836838,-74.072429622,research,,https://www.inaturalist.org/observations/233987947,,
233984328,Northern Diamondback Terrapin,2023-07-12 15:03:57-04:00,"New Jersey, US",39.0658765219,-74.8521509742,research,,https://www.inaturalist.org/observations/233984328,,
233586095,Northern Diamondback Terrapin,2024-07-18 13:10:00-04:00,"New Jersey, US",39.5539623461,-74.4828940656,research,,https://www.inaturalist.org/observations/233586095,,
233509286,Northern Diamondback Terrapin,2024-08-02 13:53:00-04:00,"New Jersey, US",39.5107607885,-74.5583649906,research,,https://www.inaturalist.org/observations/233509286,,
233509274,Northern Diamondback Terrapin,2024-08-02 13:49:00-04:00,"New Jersey, US",39.470919127,-74.5303584976,research,,https://www.inaturalist.org/observations/233509274,,
233509273,Northern Diamondback Terrapin,2024-08-02 13:49:00-04:00,"New Jersey, US",39.5184110187,-74.5150141404,research,,https://www.inaturalist.org/observations/233509273,,
233509271,Northern Diamondback Terrapin,2024-08-02 13:48:00-04:00,"New Jersey, US",39.5836672397,-74.4090547388,research,,https://www.inaturalist.org/observations/233509271,,
233509264,Northern Diamondback Terrapin,2024-08-02 13:47:00-04:00,"New Jersey, US",39.4180471301,-74.5986715963,research,,https://www.inaturalist.org/observations/233509264,,
233509263,Northern Diamondback Terrapin,2024-08-02 13:47:00-04:00,"New Jersey, US",39.5290224833,-74.4899574533,research,,https://www.inaturalist.org/observations/233509263,,
233509262,Northern Diamondback Terrapin,2024-08-02 13:47:00-04:00,"New Jersey, US",39.4774391039,-74.5404647529,research,,https://www.inaturalist.org/observations/233509262,,
233509254,Northern Diamondback Terrapin,2024-08-02 13:47:00-04:00,"New Jersey, US",39.5638170529,-74.5815609168,research,,https://www.inaturalist.org/observations/233509254,,
233509253,Northern Diamondback Terrapin,2024-08-02 13:46:00-04:00,"New Jersey, US",39.4360829089,-74.4724504392,research,,https://www.inaturalist.org/observations/233509253,,
233509250,Northern Diamondback Terrapin,2024-08-02 13:45:00-04:00,"New Jersey, US",39.4335048641,-74.540768998,research,,https://www.inaturalist.org/observations/233509250,,
233302525,Northern Diamondback Terrapin,2024-08-01 11:45:28-04:00,"Cape May County, US-NJ, US",39.0767371624,-74.7667470103,research,,https://www.inaturalist.org/observations/233302525,,
232829912,Atlantic Menhaden,2024-07-29 16:05:06-04:00,"Sea Girt, New Jersey 08750, États-Unis",40.1387920563,-74.0289248899,research,,https://www.inaturalist.org/observations/232829912,,
232617897,Atlantic Menhaden,2024-07-29 12:38:01-04:00,"Boulevard East, Keyport, NJ, US",40.4528783333,-74.2322,research,,https://www.inaturalist.org/observations/232617897,,
231932563,Atlantic Menhaden,2024-07-26 17:06:56-04:00,"New Jersey, US",39.1448528212,-74.7365735485,research,,https://www.inaturalist.org/observations/231932563,,
231535743,Northern Diamondback Terrapin,2024-07-16 19:48:42-04:00,"New Jersey, US",39.4692836676,-74.5143606536,research,,https://www.inaturalist.org/observations/231535743,,
231533551,Northern Diamondback Terrapin,2024-07-24 13:13:00-04:00,United States,40.6763454052,-74.1700250734,research,"Life Stage: Adult, Sex: Cannot Be Determined, Alive or Dead: Alive",https://www.inaturalist.org/observations/231533551,Adult,Alive
231503887,Northern Diamondback Terrapin,2024-07-02 08:24:42-04:00,"New Jersey, US",39.4409972947,-74.2802726039,research,"Life Stage: Adult, Alive or Dead: Dead",https://www.inaturalist.org/observations/231503887,Adult,Dead
231123056,Northern Diamondback Terrapin,2024-07-21 16:26:29-04:00,"New Jersey, US",39.3156951249,-74.5539391304,research,,https://www.inaturalist.org/observations/231123056,,
230606199,Northern Diamondback Terrapin,2024-07-20 14:41:15-04:00,United States,39.7784966408,-74.1339510969,research,Life Stage: Juvenile,https://www.inaturalist.org/observations/230606199,Juvenile,
230082131,Northern Diamondback Terrapin,2024-06-15 11:02:25-04:00,"New Jersey, US",39.1447518073,-74.6992582639,research,,https://www.inaturalist.org/observations/230082131,,
230030817,Northern Diamondback Terrapin,2024-05-04 10:51:00-04:00,"New Jersey, US",39.5177158916,-74.4031171774,research,,https://www.inaturalist.org/observations/230030817,,
229604805,Northern Diamondback Terrapin,2024-07-12 10:50:00-04:00,"New Jersey, US",39.673160949,-74.3710925931,research,,https://www.inaturalist.org/observations/229604805,,
229293212,Northern Diamondback Terrapin,2024-07-14 11:46:43-04:00,"New Jersey, US",39.6900365937,-74.226995101,research,,https://www.inaturalist.org/observations/229293212,,
229240603,Atlantic Menhaden,2024-07-13 19:23:58-04:00,United States,40.1014438898,-74.1434479836,research,,https://www.inaturalist.org/observations/229240603,,
229148029,Northern Diamondback Terrapin,2024-07-13 14:31:00-04:00,"New Jersey, US",39.5499807149,-74.4423842214,research,,https://www.inaturalist.org/observations/229148029,,
229126202,Atlantic Menhaden,2024-07-13 17:52:59-04:00,"North Atlantic Ocean, North Wildwood, NJ, US",39.0055960337,-74.7876311287,research,,https://www.inaturalist.org/observations/229126202,,
229094522,Northern Diamondback Terrapin,2024-07-13 15:12:19-04:00,"New Jersey, US",39.3024237747,-74.5572894429,research,,https://www.inaturalist.org/observations/229094522,,
229091497,Northern Diamondback Terrapin,2024-07-13 14:47:22-04:00,"New Jersey, US",39.2789887541,-74.5712751136,research,,https://www.inaturalist.org/observations/229091497,,
229080659,Northern Diamondback Terrapin,2024-07-13 14:12:15-04:00,"New Jersey, US",39.3006947332,-74.5178781708,research,,https://www.inaturalist.org/observations/229080659,,
229079426,Northern Diamondback Terrapin,2024-07-13 14:06:21-04:00,"New Jersey, US",39.3140246027,-74.4225728126,research,,https://www.inaturalist.org/observations/229079426,,
229077914,Northern Diamondback Terrapin,2024-07-13 13:56:45-04:00,"New Jersey, US",39.2973113058,-74.4807200617,research,,https://www.inaturalist.org/observations/229077914,,
229049864,Northern Diamondback Terrapin,2024-07-13 11:51:40-04:00,"New Jersey, US",39.5951917381,-74.4363941188,research,,https://www.inaturalist.org/observations/229049864,,
228862681,Northern Diamondback Terrapin,2024-07-12 12:13:51-04:00,"New Jersey, US",39.7368479884,-74.3982934486,research,,https://www.inaturalist.org/observations/228862681,,
228602517,Northern Diamondback Terrapin,2024-07-11 07:16:58-04:00,"New Jersey, US",39.5467992999,-74.2037775798,research,"Life Stage: Juvenile, Alive or Dead: Dead",https://www.inaturalist.org/observations/228602517,Juvenile,Dead
228560298,Atlantic Menhaden,2024-07-10 20:43:11-04:00,"Barnegat Bay, Seaside Park, NJ, US",39.9339907399,-74.0794357318,research,,https://www.inaturalist.org/observations/228560298,,
228526993,Northern Diamondback Terrapin,2024-07-02 10:36:00-04:00,"New Jersey, US",39.2225149327,-74.7721416248,research,"Life Stage: Adult, Sex: Female, Alive or Dead: Alive",https://www.inaturalist.org/observations/228526993,Adult,Alive
228526992,Northern Diamondback Terrapin,2024-07-10 09:01:00-04:00,"New Jersey, US",39.2738671187,-74.7443651852,research,"Life Stage: Adult, Alive or Dead: Dead",https://www.inaturalist.org/observations/228526992,Adult,Dead
228489357,Northern Diamondback Terrapin,2024-07-10 14:25:40-04:00,"New Jersey, US",39.3699311921,-74.4523313098,research,,https://www.inaturalist.org/observations/228489357,,
228476289,Northern Diamondback Terrapin,2024-07-10 13:22:00-04:00,"New Jersey, US",39.5761998843,-74.245749038,research,Alive or Dead: Alive,https://www.inaturalist.org/observations/228476289,,Alive
228439508,Northern Diamondback Terrapin,2024-07-10 10:05:29-04:00,"New Jersey, US",39.7286923244,-74.2024988455,research,"Life Stage: Adult, Sex: Female, Alive or Dead: Dead",https://www.inaturalist.org/observations/228439508,Adult,Dead
228341939,Northern Diamondback Terrapin,2024-07-09 11:13:00-04:00,"New Jersey, US",39.5454530631,-74.4160436867,research,,https://www.inaturalist.org/observations/228341939,,
228152666,Northern Diamondback Terrapin,2024-06-29 10:14:00-04:00,"New Jersey, US",39.4051762991,-74.4308353674,research,,https://www.inaturalist.org/observations/228152666,,
228080387,Northern Diamondback Terrapin,2024-07-02 06:49:00-04:00,"Cape May County, US-NJ, US",39.0217619875,-74.6820015899,research,,https://www.inaturalist.org/observations/228080387,,
228077726,Northern Diamondback Terrapin,2024-07-02 07:54:00-04:00,"Cape May County, US-NJ, US",39.0016239227,-74.7313180025,research,,https://www.inaturalist.org/observations/228077726,,
228026207,Northern Diamondback Terrapin,2024-07-08 10:34:37-04:00,"New Jersey, US",39.6819838321,-74.23202703,research,"Life Stage: Adult, Sex: Female, Alive or Dead: Alive",https://www.inaturalist.org/observations/228026207,Adult,Alive
227797321,Northern Diamondback Terrapin,2024-07-07 12:08:50-04:00,"New Jersey, US",39.7443037648,-74.2175862258,research,"Life Stage: Adult, Alive or Dead: Alive",https://www.inaturalist.org/observations/227797321,Adult,Alive
227796988,Northern Diamondback Terrapin,2024-07-07 12:07:57-04:00,"New Jersey, US",39.6286168467,-74.3121147772,research,"Life Stage: Adult, Alive or Dead: Alive",https://www.inaturalist.org/observations/227796988,Adult,Alive
227793445,Northern Diamondback Terrapin,2024-07-07 11:52:49-04:00,"New Jersey, US",39.7178159464,-74.2071817278,research,"Life Stage: Adult, Alive or Dead: Alive",https://www.inaturalist.org/observations/227793445,Adult,Alive
227792793,Northern Diamondback Terrapin,2024-07-07 11:50:23-04:00,"New Jersey, US",39.642944424,-74.3528551755,research,"Life Stage: Adult, Alive or Dead: Alive",https://www.inaturalist.org/observations/227792793,Adult,Alive
227791031,Northern Diamondback Terrapin,2024-07-07 11:43:21-04:00,"New Jersey, US",39.6872891774,-74.2481476893,research,"Life Stage: Adult, Alive or Dead: Alive",https://www.inaturalist.org/observations/227791031,Adult,Alive
227790802,Northern Diamondback Terrapin,2024-07-07 11:42:35-04:00,"New Jersey, US",39.7835150351,-74.365407512,research,"Life Stage: Adult, Alive or Dead: Alive",https://www.inaturalist.org/observations/227790802,Adult,Alive
227734196,Northern Diamondback Terrapin,2024-07-07 06:46:38-04:00,"New Jersey, US",39.4859629988,-74.2436738291,research,,https://www.inaturalist.org/observations/227734196,,
227733974,Northern Diamondback Terrapin,2024-07-07 06:44:37-04:00,"New Jersey, US",39.5351719055,-74.310240076,research,,https://www.inaturalist.org/observations/227733974,,
227665307,Northern Diamondback Terrapin,2024-07-02 10:19:14-04:00,"New Jersey, US",39.5096150683,-74.5295023251,research,,https://www.inaturalist.org/observations/227665307,,
227549007,Northern Diamondback Terrapin,2024-07-06 12:22:47-04:00,"New Jersey, US",39.5224132216,-74.2442636035,research,,https://www.inaturalist.org/observations/227549007,,
227546281,Northern Diamondback Terrapin,2024-07-06 12:11:52-04:00,"New Jersey, US",39.5064968879,-74.3955616818,research,,https://www.inaturalist.org/observations/227546281,,
227545600,Northern Diamondback Terrapin,2024-07-06 12:10:34-04:00,"Cape May County, US-NJ, US",38.9530780686,-74.8064175699,research,,https://www.inaturalist.org/observations/227545600,,
227545568,Northern Diamondback Terrapin,2024-07-06 12:09:33-04:00,"New Jersey, US",39.4772507284,-74.204178757,research,,https://www.inaturalist.org/observations/227545568,,
227544883,Northern Diamondback Terrapin,2024-07-06 12:07:20-04:00,"New Jersey, US",39.4036832995,-74.2523795747,research,"Life Stage: Adult, Sex: Female, Alive or Dead: Alive",https://www.inaturalist.org/observations/227544883,Adult,Alive
227543400,Northern Diamondback Terrapin,2024-07-06 12:01:35-04:00,"New Jersey, US",39.5113976605,-74.2583055977,research,"Life Stage: Adult, Alive or Dead: Alive",https://www.inaturalist.org/observations/227543400,Adult,Alive
227542870,Northern Diamondback Terrapin,2024-07-06 11:57:01-04:00,"New Jersey, US",39.4733509109,-74.3843601499,research,,https://www.inaturalist.org/observations/227542870,,
227540469,Northern Diamondback Terrapin,2024-07-06 11:43:56-04:00,"New Jersey, US",39.5013057489,-74.3468786326,research,"Life Stage: Adult, Sex: Female, Alive or Dead: Alive",https://www.inaturalist.org/observations/227540469,Adult,Alive
227538337,Northern Diamondback Terrapin,2024-07-06 11:39:54-04:00,"New Jersey, US",39.5515115356,-74.2180906222,research,,https://www.inaturalist.org/observations/227538337,,
227535874,Northern Diamondback Terrapin,2024-07-06 11:29:06-04:00,"New Jersey, US",39.5088523357,-74.2694833,research,,https://www.inaturalist.org/observations/227535874,,
227535326,Northern Diamondback Terrapin,2024-07-06 11:27:15-04:00,"New Jersey, US",39.5932392219,-74.2815030431,research,,https://www.inaturalist.org/observations/227535326,,
227534923,Northern Diamondback Terrapin,2024-07-06 11:25:04-04:00,"New Jersey, US",39.4019362512,-74.3486559964,research,,https://www.inaturalist.org/observations/227534923,,
227527716,Northern Diamondback Terrapin,2024-07-06 09:35:36-04:00,"New Jersey, US",39.046957369,-75.1803943115,research,,https://www.inaturalist.org/observations/227527716,,
227526118,Atlantic Menhaden,2024-07-06 10:49:46-04:00,"Raritan River, Highland Park, NJ, US",40.4884949132,-74.4222488017,research,,https://www.inaturalist.org/observations/227526118,,
227453551,Atlantic Menhaden,2024-07-05 22:49:21-04:00,"Ocean Ave, Sea Bright, NJ, US",40.3589033333,-73.9752966667,research,,https://www.inaturalist.org/observations/227453551,,
